Processo,Tempo Chegada,Burst Time,Tempo Espera,Tempo Turnaround
368,0,1,0,1
411,0,1,1,4
546,0,1,4,5
571,0,1,5,6
615,0,1,6,7
708,0,1,7,8
767,0,1,8,11
963,0,1,11,14
117,1,1,13,14
138,1,1,14,15
165,1,1,15,18
293,1,1,18,21
334,1,1,21,22
552,1,1,22,23
789,1,1,23,24
817,1,1,24,25
964,1,1,25,28
59,2,1,27,28
89,2,1,28,31
109,2,1,31,34
139,2,1,34,35
166,2,1,35,36
184,2,1,36,39
237,2,1,39,40
320,2,1,40,41
497,2,1,41,42
597,2,1,42,43
614,2,1,43,44
661,2,1,44,47
757,2,1,47,48
943,2,1,48,49
175,3,1,48,49
269,3,1,49,50
322,3,1,50,51
526,3,1,51,52
730,3,1,52,55
763,3,1,55,56
779,3,1,56,57
842,3,1,57,58
901,3,1,58,59
954,3,1,59,62
155,4,1,61,62
174,4,1,62,63
183,4,1,63,64
316,4,1,64,67
408,4,1,67,70
755,4,1,70,71
783,4,1,71,72
851,4,1,72,73
893,4,1,73,74
950,4,1,74,75
50,5,1,74,75
152,5,1,75,76
212,5,1,76,79
248,5,1,79,80
297,5,1,80,81
703,5,1,81,82
938,5,1,82,83
941,5,1,83,86
983,5,1,86,89
28,6,1,88,89
96,6,1,89,90
158,6,1,90,91
465,6,1,91,92
521,6,1,92,93
715,6,1,93,94
733,6,1,94,95
781,6,1,95,96
801,6,1,96,99
825,6,1,99,100
862,6,1,100,101
996,6,1,101,102
204,7,1,101,102
477,7,1,102,103
557,7,1,103,104
566,7,1,104,107
569,7,1,107,108
654,7,1,108,109
720,7,1,109,110
784,7,1,110,111
860,7,1,111,112
946,7,1,112,113
36,8,1,112,113
305,8,1,113,116
441,8,1,116,117
672,8,1,117,118
727,8,1,118,121
918,8,1,121,122
924,8,1,122,123
1000,8,1,123,124
71,9,1,123,126
160,9,1,126,127
217,9,1,127,130
286,9,1,130,133
378,9,1,133,134
425,9,1,134,135
534,9,1,135,136
560,9,1,136,137
565,9,1,137,138
584,9,1,138,139
752,9,1,139,140
886,9,1,140,141
42,0,2,150,152
80,0,2,152,154
93,0,2,154,156
195,0,2,156,158
245,0,2,158,160
257,0,2,160,162
350,0,2,162,164
488,0,2,164,166
719,0,2,166,170
816,0,2,170,172
834,0,2,172,174
922,0,2,174,176
998,0,2,176,178
24,1,2,177,179
355,1,2,179,181
407,1,2,181,183
555,1,2,183,185
724,1,2,185,189
838,1,2,189,191
958,1,2,191,193
982,1,2,193,197
107,2,2,196,198
173,2,2,198,200
238,2,2,200,202
250,2,2,202,204
295,2,2,204,206
309,2,2,206,208
404,2,2,208,212
495,2,2,212,214
518,2,2,214,216
537,2,2,216,218
710,2,2,218,220
725,2,2,220,222
844,2,2,222,226
847,2,2,226,228
968,2,2,228,232
969,2,2,232,234
126,3,2,233,235
170,3,2,235,237
203,3,2,237,241
220,3,2,241,243
241,3,2,243,245
300,3,2,245,247
361,3,2,247,251
484,3,2,251,253
559,3,2,253,257
920,3,2,257,259
22,4,2,258,260
70,4,2,260,262
86,4,2,262,264
128,4,2,264,268
159,4,2,268,270
162,4,2,270,272
232,4,2,272,274
308,4,2,274,276
345,4,2,276,278
498,4,2,278,280
503,4,2,280,282
820,4,2,282,286
861,4,2,286,290
967,4,2,290,292
20,5,2,291,295
384,5,2,295,299
448,5,2,299,301
496,5,2,301,305
604,5,2,305,307
673,5,2,307,309
829,5,2,309,313
171,6,2,312,314
258,6,2,314,316
356,6,2,316,318
516,6,2,318,322
609,6,2,322,326
647,6,2,326,328
734,6,2,328,330
798,6,2,330,334
806,6,2,334,336
818,6,2,336,338
839,6,2,338,340
873,6,2,340,342
896,6,2,342,344
988,6,2,344,346
33,7,2,345,347
137,7,2,347,351
189,7,2,351,355
620,7,2,355,357
772,7,2,357,359
898,7,2,359,361
25,8,2,360,362
45,8,2,362,364
256,8,2,364,366
267,8,2,366,368
439,8,2,368,370
599,8,2,370,372
3,9,2,371,373
127,9,2,373,375
129,9,2,375,377
472,9,2,377,379
507,9,2,379,381
630,9,2,381,383
634,9,2,383,385
696,9,2,385,387
879,9,2,387,389
981,9,2,389,391
177,0,3,400,405
444,0,3,405,408
522,0,3,408,413
586,0,3,413,416
652,0,3,416,419
667,0,3,419,422
766,0,3,422,425
878,0,3,425,428
955,0,3,428,431
32,1,3,430,433
67,1,3,433,436
185,1,3,436,441
214,1,3,441,444
414,1,3,444,447
432,1,3,447,452
636,1,3,452,455
835,1,3,455,458
843,1,3,458,461
952,1,3,461,464
27,2,3,463,466
339,2,3,466,469
389,2,3,469,474
401,2,3,474,477
415,2,3,477,480
585,2,3,480,485
721,2,3,485,488
759,2,3,488,493
874,2,3,493,496
986,2,3,496,499
9,3,3,498,501
17,3,3,501,504
98,3,3,504,507
163,3,3,507,512
273,3,3,512,515
390,3,3,515,518
400,3,3,518,521
417,3,3,521,524
563,3,3,524,527
642,3,3,527,530
833,3,3,530,533
892,3,3,533,536
119,4,3,535,538
225,4,3,538,541
244,4,3,541,544
475,4,3,544,547
501,4,3,547,550
505,4,3,550,553
523,4,3,553,556
539,4,3,556,561
564,4,3,561,564
583,4,3,564,569
598,4,3,569,572
653,4,3,572,575
760,4,3,575,580
55,5,3,579,582
78,5,3,582,587
172,5,3,587,590
218,5,3,590,593
550,5,3,593,596
993,5,3,596,599
13,6,3,598,601
58,6,3,601,606
130,6,3,606,609
580,6,3,609,612
663,6,3,612,615
751,6,3,615,618
1,7,3,617,620
40,7,3,620,623
116,7,3,623,626
143,7,3,626,629
233,7,3,629,632
249,7,3,632,635
360,7,3,635,638
403,7,3,638,643
428,7,3,643,646
442,7,3,646,651
470,7,3,651,654
517,7,3,654,657
529,7,3,657,660
889,7,3,660,663
915,7,3,663,666
949,7,3,666,669
972,7,3,669,672
114,8,3,671,674
169,8,3,674,677
430,8,3,677,680
900,8,3,680,683
4,9,3,682,687
182,9,3,687,692
197,9,3,692,697
239,9,3,697,702
318,9,3,702,707
568,9,3,707,710
608,9,3,710,713
976,9,3,713,716
236,0,4,725,731
395,0,4,731,735
462,0,4,735,739
468,0,4,739,745
541,0,4,745,749
788,0,4,749,753
850,0,4,753,759
951,0,4,759,763
31,1,4,762,766
202,1,4,766,770
285,1,4,770,774
327,1,4,774,778
591,1,4,778,784
648,1,4,784,788
917,1,4,788,794
926,1,4,794,798
280,2,4,797,801
302,2,4,801,805
451,2,4,805,809
466,2,4,809,813
533,2,4,813,817
558,2,4,817,823
582,2,4,823,829
637,2,4,829,833
884,2,4,833,837
94,3,4,836,840
259,3,4,840,844
372,3,4,844,848
383,3,4,848,852
412,3,4,852,858
413,3,4,858,862
600,3,4,862,866
666,3,4,866,870
699,3,4,870,876
704,3,4,876,880
830,3,4,880,884
95,4,4,883,887
262,4,4,887,891
402,4,4,891,895
409,4,4,895,899
429,4,4,899,903
524,4,4,903,907
741,4,4,907,911
774,4,4,911,915
921,4,4,915,919
925,4,4,919,925
8,5,4,924,928
49,5,4,928,932
154,5,4,932,938
201,5,4,938,942
270,5,4,942,946
325,5,4,946,950
364,5,4,950,954
762,5,4,954,958
841,5,4,958,962
885,5,4,962,966
912,5,4,966,970
77,6,4,969,973
141,6,4,973,977
149,6,4,977,981
292,6,4,981,987
449,6,4,987,993
492,6,4,993,997
502,6,4,997,1001
548,6,4,1001,1005
685,6,4,1005,1009
728,6,4,1009,1013
744,6,4,1013,1017
840,6,4,1017,1021
10,7,4,1020,1024
150,7,4,1024,1028
431,7,4,1028,1032
452,7,4,1032,1036
567,7,4,1036,1040
575,7,4,1040,1044
603,7,4,1044,1048
610,7,4,1048,1052
770,7,4,1052,1056
855,7,4,1056,1060
962,7,4,1060,1064
57,8,4,1063,1067
79,8,4,1067,1071
85,8,4,1071,1075
294,8,4,1075,1079
312,8,4,1079,1083
331,8,4,1083,1089
358,8,4,1089,1095
392,8,4,1095,1101
398,8,4,1101,1107
510,8,4,1107,1111
625,8,4,1111,1115
688,8,4,1115,1119
723,8,4,1119,1123
736,8,4,1123,1127
809,8,4,1127,1131
837,8,4,1131,1135
880,8,4,1135,1141
989,8,4,1141,1145
44,9,4,1144,1150
176,9,4,1150,1154
216,9,4,1154,1158
289,9,4,1158,1162
373,9,4,1162,1166
438,9,4,1166,1170
476,9,4,1170,1174
513,9,4,1174,1178
680,9,4,1178,1182
813,9,4,1182,1186
929,9,4,1186,1190
100,0,5,1199,1204
213,0,5,1204,1209
363,0,5,1209,1216
367,0,5,1216,1221
485,0,5,1221,1226
670,0,5,1226,1231
676,0,5,1231,1236
677,0,5,1236,1241
714,0,5,1241,1246
745,0,5,1246,1253
778,0,5,1253,1258
787,0,5,1258,1263
103,1,5,1262,1267
104,1,5,1267,1272
252,1,5,1272,1277
260,1,5,1277,1282
317,1,5,1282,1287
469,1,5,1287,1292
499,1,5,1292,1297
607,1,5,1297,1302
872,1,5,1302,1307
890,1,5,1307,1312
919,1,5,1312,1317
991,1,5,1317,1322
997,1,5,1322,1329
179,2,5,1328,1333
193,2,5,1333,1338
264,2,5,1338,1343
328,2,5,1343,1348
487,2,5,1348,1355
489,2,5,1355,1360
509,2,5,1360,1365
519,2,5,1365,1370
531,2,5,1370,1375
622,2,5,1375,1382
644,2,5,1382,1387
689,2,5,1387,1394
791,2,5,1394,1399
795,2,5,1399,1404
805,2,5,1404,1409
815,2,5,1409,1414
852,2,5,1414,1419
959,2,5,1419,1424
156,3,5,1423,1428
369,3,5,1428,1433
385,3,5,1433,1438
482,3,5,1438,1443
769,3,5,1443,1448
888,3,5,1448,1453
903,3,5,1453,1460
5,4,5,1459,1464
16,4,5,1464,1469
73,4,5,1469,1474
120,4,5,1474,1479
140,4,5,1479,1484
242,4,5,1484,1489
251,4,5,1489,1496
261,4,5,1496,1501
436,4,5,1501,1508
445,4,5,1508,1513
570,4,5,1513,1520
700,4,5,1520,1525
961,4,5,1525,1530
984,4,5,1530,1535
76,5,5,1534,1539
301,5,5,1539,1544
343,5,5,1544,1549
424,5,5,1549,1554
506,5,5,1554,1559
587,5,5,1559,1566
638,5,5,1566,1573
881,5,5,1573,1578
19,6,5,1577,1582
194,6,5,1582,1587
450,6,5,1587,1592
490,6,5,1592,1597
542,6,5,1597,1602
664,6,5,1602,1607
682,6,5,1607,1612
713,6,5,1612,1617
740,6,5,1617,1624
786,6,5,1624,1629
804,6,5,1629,1634
965,6,5,1634,1639
168,7,5,1638,1643
246,7,5,1643,1650
277,7,5,1650,1655
365,7,5,1655,1660
427,7,5,1660,1665
435,7,5,1665,1670
576,7,5,1670,1675
821,7,5,1675,1680
854,7,5,1680,1687
907,7,5,1687,1692
64,8,5,1691,1696
125,8,5,1696,1701
380,8,5,1701,1706
628,8,5,1706,1711
777,8,5,1711,1716
18,9,5,1715,1720
35,9,5,1720,1725
52,9,5,1725,1732
63,9,5,1732,1739
66,9,5,1739,1744
97,9,5,1744,1749
200,9,5,1749,1756
268,9,5,1756,1763
366,9,5,1763,1768
662,9,5,1768,1773
711,9,5,1773,1778
